course_id,course_code,course_title,course_credits,course_grade,course_gpa,course_points,CGPA,comments
23,CMPS314,ALGORITHMS,3,B,3,9,3.26,
45,CMPS316,PROGRAMMING LANGUAGES,3,C+,2.5,7.5,3.26,
67,CMPS412,ADVANCED COMPUTER ARCHITECTURE,3,B,3,9,3.26,
89,MATH480,LINEAR PROGRAMMING.,3,B+,3.5,10.5,3.26,
111,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,3,C+,2.5,7.5,3.26,
133,ENGL318,TECHNICAL WRITING.,3,C+,2.5,7.5,3.26,
155,MATH330,DISCRETE MATHEMATHICS,3,C,2,6,3.26,
177,CMPS414,NETWORKING II,3,A-,3.75,11.25,3.26,
199,CMPS418,LINUX ADMINISTRATION,3,A-,3.75,11.25,3.26,
221,CMPS429,SENIOR INTERNSHIP,12,A,4,48,3.26,
243,CMPS324,SOFTWARE ENGINEERING,3,B+,3.5,10.5,3.26,
265,MATH441,NUMERICAL ANALYSIS,3,B,3,9,3.26,
287,CMPS328,DATABASE MGMT. SYS. II,3,A-,3.75,11.25,3.26,
309,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,B,3,9,3.26,
331,CMPS328,DATABASE MGMT. SYS. II,3,F,0,0,3.26,REPEAT
353,CMPS332,P C REPAIR,3,A,4,12,3.26,
375,PHYS241,GENERAL PHYSICS I,3,C,2,6,3.26,
397,CMPS416,COMPILER CONSTRUCTION,3,B+,3.5,10.5,3.26,
419,CMPS248,SOFTWARE IN SOCIETY,3,B,3,9,3.32,
441,HIST201,BELIZEAN HISTORY,3,B,3,9,3.32,
463,CMPS155,COMPUTER TECHNOLOGY,3,B,3,9,3.32,
485,MATH210,DIFFERENTIAL CALCULUS,4,A-,3.75,15,3.32,
507,CMPS260,PROJECT,3,C+,2.5,7.5,3.32,
529,MATH330,DISCRETE MATHEMATHICS,3,B,3,9,3.32,
551,CMPS414,NETWORKING II,3,A,4,12,3.32,
573,GSTU101,STUDY SKILLS,1,A-,3.75,3.75,3.32,
595,CMPS246,COMPUTER ARCHITECTURE,3,B,3,9,3.32,
617,ENGL318,TECHNICAL WRITING.,3,B,3,9,3.32,
639,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,3,B,3,9,3.32,
661,CMPS146,PROGRAMMING FOUNDATIONS,4,B+,3.5,14,3.32,
683,CMPS247,COMPUTER NETWORKING I,3,A,4,12,3.32,
705,CMPS324,SOFTWARE ENGINEERING,3,B,3,9,3.32,
727,CMPS328,DATABASE MGMT. SYS. II,3,B+,3.5,10.5,3.32,
749,MATH441,NUMERICAL ANALYSIS,3,A-,3.75,11.25,3.32,
771,MATH480,LINEAR PROGRAMMING.,3,A,4,12,3.32,
793,CMPS429,SENIOR INTERNSHIP,12,B,3,36,3.32,
